timestamp,symbol,tag,detail,trade_id,position_id,pending_exit_reason,pending_modify_reason,modify_count,active_model_pack_dir,pack_dir_at_entry,tx_authority_enabled,runtime_reload_status,account_login,account_server,ea_version,log_schema_version
2026.01.08 15:35:00,US100,entry_logged,trade_id=TS_00014 tx=TX_DEAL deal=28,TS_00014,28,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.08 16:34:20,US100,exit_logged,trade_id=TS_00014 tx=TX_DEAL deal=29 reason=SL price=25547.55000000 pnl=-5.30,TS_00014,28,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.08 17:10:00,US100,entry_logged,trade_id=TS_00015 tx=TX_DEAL deal=30,TS_00015,30,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.08 23:10:00,US100,exit_logged,trade_id=TS_00015 tx=TX_DEAL deal=31 reason=FORCE_EXIT price=25536.55000000 pnl=0.32,TS_00015,30,FORCE_EXIT,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.08 23:20:00,US100,entry_logged,trade_id=TS_00016 tx=TX_DEAL deal=32,TS_00016,32,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.09 06:20:00,US100,exit_logged,trade_id=TS_00016 tx=TX_DEAL deal=33 reason=FORCE_EXIT price=25511.05000000 pnl=-1.28,TS_00016,32,FORCE_EXIT,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.09 06:25:00,US100,entry_logged,trade_id=TS_00017 tx=TX_DEAL deal=34,TS_00017,34,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.09 12:25:00,US100,exit_logged,trade_id=TS_00017 tx=TX_DEAL deal=35 reason=FORCE_EXIT price=25582.80000000 pnl=7.34,TS_00017,34,FORCE_EXIT,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.09 12:40:00,US100,entry_logged,trade_id=TS_00018 tx=TX_DEAL deal=36,TS_00018,36,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.09 16:30:43,US100,exit_logged,trade_id=TS_00018 tx=TX_DEAL deal=37 reason=SL price=25512.05000000 pnl=-5.25,TS_00018,36,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.09 17:10:00,US100,entry_logged,trade_id=TS_00019 tx=TX_DEAL deal=38,TS_00019,38,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.09 23:10:00,US100,exit_logged,trade_id=TS_00019 tx=TX_DEAL deal=39 reason=FORCE_EXIT price=25782.55000000 pnl=2.94,TS_00019,38,FORCE_EXIT,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.12 06:20:00,US100,entry_logged,trade_id=TS_00020 tx=TX_DEAL deal=40,TS_00020,40,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.12 10:30:42,US100,exit_logged,trade_id=TS_00020 tx=TX_DEAL deal=41 reason=SL price=25511.75000000 pnl=-5.71,TS_00020,40,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.12 10:55:00,US100,entry_logged,trade_id=TS_00021 tx=TX_DEAL deal=42,TS_00021,42,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.12 16:55:00,US100,exit_logged,trade_id=TS_00021 tx=TX_DEAL deal=43 reason=FORCE_EXIT price=25750.50000000 pnl=9.12,TS_00021,42,FORCE_EXIT,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.12 17:35:00,US100,entry_logged,trade_id=TS_00022 tx=TX_DEAL deal=44,TS_00022,44,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.12 23:35:00,US100,exit_logged,trade_id=TS_00022 tx=TX_DEAL deal=45 reason=FORCE_EXIT price=25824.00000000 pnl=1.49,TS_00022,44,FORCE_EXIT,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.13 06:45:00,US100,entry_logged,trade_id=TS_00023 tx=TX_DEAL deal=46,TS_00023,46,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.13 12:45:00,US100,exit_logged,trade_id=TS_00023 tx=TX_DEAL deal=47 reason=FORCE_EXIT price=25742.90000000 pnl=1.28,TS_00023,46,FORCE_EXIT,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.13 12:50:00,US100,entry_logged,trade_id=TS_00024 tx=TX_DEAL deal=48,TS_00024,48,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.13 15:31:58,US100,exit_logged,trade_id=TS_00024 tx=TX_DEAL deal=49 reason=TP price=25892.65000000 pnl=10.58,TS_00024,48,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.13 16:00:00,US100,entry_logged,trade_id=TS_00025 tx=TX_DEAL deal=50,TS_00025,50,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.13 22:00:00,US100,exit_logged,trade_id=TS_00025 tx=TX_DEAL deal=51 reason=FORCE_EXIT price=25720.55000000 pnl=-3.22,TS_00025,50,FORCE_EXIT,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.13 22:05:00,US100,entry_logged,trade_id=TS_00026 tx=TX_DEAL deal=52,TS_00026,52,,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
2026.01.14 05:05:00,US100,exit_logged,trade_id=TS_00026 tx=TX_DEAL deal=53 reason=FORCE_EXIT price=25754.65000000 pnl=1.72,TS_00026,52,FORCE_EXIT,,0,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,1,ROLLED_BACK,81957644,FPMarketsSC-Live,0.2.0,2.0
