trade_id,timestamp,symbol,event_type,direction,lot,entry_price,exit_price,sl_price,tp_price,pnl,k_sl_req,k_tp_req,k_sl_eff,k_tp_eff,hold_bars,bars_held,exit_reason,regime_id_at_entry,spread_atr_at_entry,flip_used,model_pack_version,clf_version,prm_version,cost_model_version,event_detail,deal_ticket,position_id,modify_reason,modify_count,tx_authority,pack_dir_at_entry,active_model_pack_dir,runtime_reload_status,ea_version,log_schema_version
TS_00001,2022.09.13 06:35:00,US100,ENTRY,LONG,0.1900,12757.65000000,,12729.26000000,12814.44000000,,6.000000,12.000000,6.000000,12.000000,72,0,,2,0.316981,1,0.1.0,0.1.0,0.1.0,0.1,,2,2,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00001,2022.09.13 10:50:35,US100,EXIT,LONG,0.1900,12757.65000000,12814.50000000,12729.26000000,12814.44000000,10.80,6.000000,12.000000,6.000000,12.000000,72,51,TP,2,0.316981,1,0.1.0,0.1.0,0.1.0,0.1,,3,2,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00002,2022.09.13 11:00:00,US100,ENTRY,LONG,0.0700,12810.15000000,,12733.76000000,12962.94000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.117812,0,0.1.0,0.1.0,0.1.0,0.1,,4,4,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00002,2022.09.13 15:30:34,US100,EXIT,LONG,0.0700,12810.15000000,12733.71000000,12733.76000000,12962.94000000,-5.35,6.000000,12.000000,6.000000,12.000000,72,54,SL,5,0.117812,0,0.1.0,0.1.0,0.1.0,0.1,,5,4,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00003,2022.09.13 16:30:00,US100,ENTRY,LONG,0.0100,12381.90000000,,12012.11000000,13121.49000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.024338,1,0.1.0,0.1.0,0.1.0,0.1,,6,6,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00003,2022.09.13 22:35:00,US100,EXIT,LONG,0.0100,12381.90000000,12042.40000000,12012.11000000,13121.49000000,-3.40,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,3,0.024338,1,0.1.0,0.1.0,0.1.0,0.1,,7,6,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00004,2022.09.13 22:55:00,US100,ENTRY,LONG,0.0300,12049.95000000,,11894.65000000,12360.54000000,,6.000000,12.000000,6.000000,12.000000,72,0,,5,0.057953,1,0.1.0,0.1.0,0.1.0,0.1,,8,8,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00004,2022.09.14 05:55:00,US100,EXIT,LONG,0.0300,12049.95000000,12063.15000000,11894.65000000,12360.54000000,0.28,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,5,0.057953,1,0.1.0,0.1.0,0.1.0,0.1,,9,8,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00005,2022.09.14 06:50:00,US100,ENTRY,LONG,0.1000,12057.65000000,,12005.36000000,12162.22000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.172131,1,0.1.0,0.1.0,0.1.0,0.1,,10,10,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00005,2022.09.14 12:50:00,US100,EXIT,LONG,0.1000,12057.65000000,12106.65000000,12005.36000000,12162.22000000,4.90,6.000000,12.000000,6.000000,12.000000,72,72,FORCE_EXIT,3,0.172131,1,0.1.0,0.1.0,0.1.0,0.1,,11,10,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
TS_00006,2022.09.14 13:15:00,US100,ENTRY,LONG,0.0700,12115.40000000,,12034.40000000,12277.40000000,,6.000000,12.000000,6.000000,12.000000,72,0,,3,0.111111,0,0.1.0,0.1.0,0.1.0,0.1,,12,12,,0,TX_DEAL,triple_sigma_pack_long_step16,triple_sigma_pack_long_step16,INIT,0.2.0,2.0
