time,symbol,timeframe,price_basis,open,high,low,close,spread_points,atr14,adx14,atr_pct,regime_id,cand_long,cand_short,entry_allowed,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,onnx_p_long,onnx_p_short,onnx_p_pass,stage1_argmax,prm_raw_0,prm_raw_1,prm_raw_2,prm_raw_3,prm_raw_4,prm_raw_5,final_dir,flip_used,k_sl_req,k_tp_req,k_sl_eff,k_tp_eff,hold_bars,gate_pass,gate_reject_reason,dyn_spread_atr_max,dyn_dev_points,risk_pct,dist_atr,dist_atr_max_t,dist_atr_max_mode,has_position,bars_held,ea_version,schema_version,candidate_policy_version,regime_policy_version,model_pack_version,clf_version,prm_version,cost_model_version,pending_exit_reason,pending_modify_reason,last_modify_reason,modify_count,be_applied,entry_log_emitted,tx_authority_enabled,broker_audit_enabled,active_model_pack_dir,pack_dir_at_entry,runtime_reload_attempts,runtime_reload_successes,runtime_reload_rollbacks,runtime_reload_status,log_schema_version
2025.03.12 00:00,US100,PERIOD_M5,Bid,19362.66000000,19397.91000000,19352.41000000,19396.16000000,140.00,68.98000000,32.009961,0.00355637,5,0,0,0,0.00165117,-0.00678139,-0.00918529,0.65961146,0.48564801,0.92307693,-1.09589481,-0.63372701,-0.11535735,-0.13859709,0.32009962,0.02029574,0.97492790,-0.22252093,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.364388,0.048699,0.586913,PASS,1.500000,2.000000,24.000000,1.500000,2.000000,24.000000,PASS,0,0.000000,0.000000,0.000000,0.000000,24,1,,0.000000,0,0.000000,1.09589480,1.63238771,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
2025.03.12 00:05,US100,PERIOD_M5,Bid,19396.16000000,19404.91000000,19369.29000000,19397.66000000,140.00,68.21142857,32.630650,0.00351648,5,0,0,0,0.00007733,-0.00242518,-0.01114928,0.52219987,0.02199045,0.59292531,-0.98279971,-0.59460741,-0.10345260,-0.13508299,0.32630649,0.02052442,0.97422963,-0.22555837,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.005870,0.005284,0.988846,PASS,1.500000,2.000000,24.000000,1.500000,2.000000,24.000000,PASS,0,0.000000,0.000000,0.000000,0.000000,24,1,,0.000000,0,0.000000,0.98279973,1.63238771,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
2025.03.12 00:10,US100,PERIOD_M5,Bid,19398.41000000,19415.29000000,19382.29000000,19408.04000000,140.00,64.39000000,30.984240,0.00331770,5,0,0,0,0.00053497,0.00226348,-0.00718608,0.51250196,0.14955738,0.56060606,-0.79611987,-0.45031106,-0.08380209,-0.10956270,0.30984241,0.02174251,0.97352195,-0.22859360,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.265064,0.149443,0.585493,PASS,1.500000,2.000000,24.000000,1.500000,2.000000,24.000000,PASS,0,0.000000,0.000000,0.000000,0.000000,24,1,,0.000000,0,0.000000,0.79611985,1.63238771,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
2025.03.12 00:15,US100,PERIOD_M5,Bid,19409.04000000,19410.54000000,19383.91000000,19388.54000000,140.00,61.05071429,29.557352,0.00314880,3,0,0,0,-0.00100524,-0.00039294,-0.00698843,0.43619472,-0.33578640,-0.65227187,-1.04868400,-0.76319736,-0.11038779,-0.14830318,0.29557353,0.02293175,0.97280478,-0.23162663,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.058292,0.479692,0.462016,SHORT,0.808329,4.069440,33.868816,1.134935,6.122094,39.439537,SHORT,0,0.000000,0.000000,0.000000,0.000000,39,1,,0.330000,3,0.008000,1.04868395,1.63238771,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
2025.03.12 00:20,US100,PERIOD_M5,Bid,19388.54000000,19389.16000000,19369.16000000,19377.41000000,140.00,57.36357143,31.215004,0.00296033,5,0,0,0,-0.00057422,-0.00104449,-0.00509501,0.34865332,-0.19402558,-0.17500000,-1.18534255,-0.96681684,-0.12477291,-0.17048670,0.31215003,0.02440573,0.97207814,-0.23465741,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.481033,0.176833,0.342133,LONG,1.179338,4.878491,39.160988,0.733044,3.873787,21.404194,LONG,0,0.000000,0.000000,0.000000,0.000000,39,1,,0.313177,3,0.008000,1.18534259,1.63238771,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
2025.03.12 00:25,US100,PERIOD_M5,Bid,19377.91000000,19381.04000000,19370.79000000,19376.54000000,140.00,54.77428571,32.651635,0.00282684,5,0,0,0,-0.00004490,-0.00162436,-0.00742827,0.18713160,-0.02501174,0.12195122,-1.13752043,-0.98807395,-0.11973899,-0.17230150,0.32651636,0.02555944,0.97134209,-0.23768589,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.214362,0.556494,0.229144,SHORT,1.137046,5.129347,38.965275,0.771004,3.857593,20.242996,SHORT,0,0.000000,0.000000,0.000000,0.000000,20,1,,0.298946,3,0.008087,1.13752039,1.63238771,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
2025.03.12 00:30,US100,PERIOD_M5,Bid,19376.54000000,19382.29000000,19370.66000000,19372.91000000,140.00,48.38214286,32.946659,0.00249741,5,0,0,0,-0.00018736,-0.00080647,-0.00642389,0.24037795,-0.07502768,-0.61306965,-1.23304105,-1.14683425,-0.12979379,-0.18035896,0.32946658,0.02893630,0.97059655,-0.24071208,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.198200,0.736552,0.065248,SHORT,1.134194,5.214228,39.173443,0.800597,4.025417,19.344839,SHORT,0,0.000000,0.000000,0.000000,0.000000,19,1,,0.331473,5,0.010487,1.23304099,1.63238771,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
2025.03.12 00:35,US100,PERIOD_M5,Bid,19372.91000000,19376.91000000,19341.66000000,19343.54000000,140.00,45.45357143,35.869440,0.00234981,5,0,0,0,-0.00151718,-0.00174944,-0.00750503,0.77551663,-0.64615387,-0.89333332,-1.77210248,-1.79366767,-0.18653710,-0.24444653,0.35869440,0.03080066,0.96984166,-0.24373592,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,0.00000000,0.171894,0.167526,0.660580,PASS,1.500000,2.000000,24.000000,1.500000,2.000000,24.000000,PASS,0,0.000000,0.000000,0.000000,0.000000,24,1,,0.000000,0,0.000000,1.77210250,1.63238771,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
2025.03.12 00:40,US100,PERIOD_M5,Bid,19343.91000000,19374.79000000,19341.66000000,19372.41000000,140.00,44.51642857,38.402517,0.00229793,5,0,1,1,0.00149138,-0.00021317,-0.00681531,0.74421960,0.64021307,0.85632360,-1.05032313,-1.13651431,-0.11056034,-0.14931658,0.38402516,0.03144906,0.96907729,-0.24675740,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.428584,0.331480,0.239936,LONG,1.155037,5.311683,36.770809,0.783690,3.871183,20.995205,PASS,0,0.000000,0.000000,0.000000,0.000000,24,1,,0.000000,0,0.000000,1.05032317,1.77210250,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
2025.03.12 00:45,US100,PERIOD_M5,Bid,19373.16000000,19385.41000000,19373.16000000,19375.16000000,140.00,41.41857143,34.635265,0.00213772,5,0,1,1,0.00014194,0.00011613,-0.00786467,0.29576105,0.04828752,-0.67346936,-0.96129650,-1.10982430,-0.10118911,-0.14037408,0.34635267,0.03380126,0.96830350,-0.24977648,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000,1.00000000,0.427928,0.542099,0.029974,SHORT,1.176046,5.449365,37.809315,0.845985,3.925648,20.060383,SHORT,0,0.845985,3.925648,0.845985,3.925648,20,1,,0.298885,3,0.008000,0.96129651,1.77210250,adaptive_quantile,0,0,0.2.0,1.0,0.1.2,0.1.0q,0.1.0,0.1.0,0.1.0,0.1,,,,0,0,0,1,0,triple_sigma_pack_step15_q1,,0,0,0,INIT,2.0
