candidate_id,search_rank,is_baseline,fold_id,regime_id,side,status,fallback_used,fallback_reason,train_count,val_count,metrics_present,raw_all_finite,effective_all_finite,contract_valid,holds_integral,normalized_effective_mae_mean,baseline_normalized_effective_mae_mean,beats_default_baseline,hold_boundary_rate
stage2_c01,1,False,1,2,SHORT,trained,False,,1598,302,True,True,True,True,True,0.23170212807235435,0.29093406252415593,True,0.0
stage2_c01,1,False,1,3,LONG,trained,False,,5260,1280,True,True,True,True,True,0.21862638883933191,0.26958696348048766,True,0.0
stage2_c01,1,False,1,3,SHORT,trained,False,,5123,1284,True,True,True,True,True,0.2131812662243658,0.25049975809858144,True,0.0
stage2_c01,1,False,1,4,LONG,trained,False,,1452,293,True,True,True,True,True,0.24710633523267492,0.31948265290864286,True,0.0
stage2_c01,1,False,1,4,SHORT,trained,False,,1460,296,True,True,True,True,True,0.23087927742884673,0.27525348652109216,True,0.0
stage2_c01,1,False,1,5,LONG,trained,False,,6104,1408,True,True,True,True,True,0.20808005056564027,0.25566328787794435,True,0.0
stage2_c01,1,False,1,5,SHORT,trained,False,,5550,1436,True,True,True,True,True,0.21440088231350643,0.2558954620999288,True,0.0
stage2_c02,2,False,0,0,LONG,trained,False,,70,72,True,True,True,True,True,0.2673884876444889,0.37441417646561553,True,0.0
stage2_c02,2,False,0,0,SHORT,trained,False,,38,46,True,True,True,True,True,0.22500609025483984,0.29232956310354535,True,0.0
stage2_c02,2,False,0,1,LONG,trained,False,,346,200,True,True,True,True,True,0.2361445870004212,0.27944487743324237,True,0.0
stage2_c02,2,False,0,1,SHORT,trained,False,,283,158,True,True,True,True,True,0.20430893474288325,0.23848858565579364,True,0.0
stage2_c02,2,False,0,2,LONG,trained,False,,1057,972,True,True,True,True,True,0.22944815208050884,0.3041220915390247,True,0.0
stage2_c02,2,False,0,2,SHORT,trained,False,,980,917,True,True,True,True,True,0.23265972242242383,0.3037612169916784,True,0.0
stage2_c02,2,False,0,3,LONG,trained,False,,4173,2367,True,True,True,True,True,0.20881989399725195,0.2600411164531878,True,0.0
stage2_c02,2,False,0,3,SHORT,trained,False,,4124,2282,True,True,True,True,True,0.20107318562624954,0.2377448733397174,True,0.0
stage2_c02,2,False,0,4,LONG,trained,False,,924,828,True,True,True,True,True,0.23182281121847137,0.3089520299509916,True,0.0
stage2_c02,2,False,0,4,SHORT,trained,False,,907,841,True,True,True,True,True,0.24262395854941765,0.29829197723977874,True,0.0
stage2_c02,2,False,0,5,LONG,trained,False,,4744,2769,True,True,True,True,True,0.2016316364153874,0.25274226964712804,True,0.0
stage2_c02,2,False,0,5,SHORT,trained,False,,4391,2576,True,True,True,True,True,0.20444960020752437,0.2456380748833956,True,0.0
stage2_c02,2,False,1,0,LONG,trained,False,,112,30,True,True,True,True,True,0.27001025859552186,0.387075284380857,True,0.0
stage2_c02,2,False,1,0,SHORT,trained,False,,68,16,True,True,True,True,True,0.17000455151285318,0.27951205255246897,True,0.0
stage2_c02,2,False,1,1,LONG,trained,False,,434,112,True,True,True,True,True,0.24138515611395048,0.2875899998144334,True,0.0
stage2_c02,2,False,1,1,SHORT,trained,False,,353,88,True,True,True,True,True,0.19860213199546903,0.2526462222852024,True,0.0
stage2_c02,2,False,1,2,LONG,trained,False,,1627,399,True,True,True,True,True,0.21244172634051173,0.30566111692227654,True,0.0
stage2_c02,2,False,1,2,SHORT,trained,False,,1598,302,True,True,True,True,True,0.23061284297757081,0.29093406252415593,True,0.0
stage2_c02,2,False,1,3,LONG,trained,False,,5260,1280,True,True,True,True,True,0.21741384746912665,0.26958696348048766,True,0.0
stage2_c02,2,False,1,3,SHORT,trained,False,,5123,1284,True,True,True,True,True,0.21244113419111285,0.25049975809858144,True,0.0
stage2_c02,2,False,1,4,LONG,trained,False,,1452,293,True,True,True,True,True,0.24440985700054316,0.31948265290864286,True,0.0
stage2_c02,2,False,1,4,SHORT,trained,False,,1460,296,True,True,True,True,True,0.23249836322834913,0.27525348652109216,True,0.0
stage2_c02,2,False,1,5,LONG,trained,False,,6104,1408,True,True,True,True,True,0.2075546140580661,0.25566328787794435,True,0.0
stage2_c02,2,False,1,5,SHORT,trained,False,,5550,1436,True,True,True,True,True,0.21468267823760115,0.2558954620999288,True,0.0
stage2_c03,3,False,0,0,LONG,trained,False,,70,72,True,True,True,True,True,0.26765876410678496,0.37441417646561553,True,0.0
stage2_c03,3,False,0,0,SHORT,trained,False,,38,46,True,True,True,True,True,0.22500609025483984,0.29232956310354535,True,0.0
stage2_c03,3,False,0,1,LONG,trained,False,,346,200,True,True,True,True,True,0.23647952140113127,0.27944487743324237,True,0.0
stage2_c03,3,False,0,1,SHORT,trained,False,,283,158,True,True,True,True,True,0.2035152045103598,0.23848858565579364,True,0.0
stage2_c03,3,False,0,2,LONG,trained,False,,1057,972,True,True,True,True,True,0.23009323398064666,0.3041220915390247,True,0.0
stage2_c03,3,False,0,2,SHORT,trained,False,,980,917,True,True,True,True,True,0.23461207215899685,0.3037612169916784,True,0.0
stage2_c03,3,False,0,3,LONG,trained,False,,4173,2367,True,True,True,True,True,0.20910382162814015,0.2600411164531878,True,0.0
stage2_c03,3,False,0,3,SHORT,trained,False,,4124,2282,True,True,True,True,True,0.1993104202433574,0.2377448733397174,True,0.0
stage2_c03,3,False,0,4,LONG,trained,False,,924,828,True,True,True,True,True,0.23406026318504145,0.3089520299509916,True,0.0
stage2_c03,3,False,0,4,SHORT,trained,False,,907,841,True,True,True,True,True,0.24211238073035832,0.29829197723977874,True,0.0
stage2_c03,3,False,0,5,LONG,trained,False,,4744,2769,True,True,True,True,True,0.20072323685393326,0.25274226964712804,True,0.0
stage2_c03,3,False,0,5,SHORT,trained,False,,4391,2576,True,True,True,True,True,0.20484437186944304,0.2456380748833956,True,0.0
stage2_c03,3,False,1,0,LONG,trained,False,,112,30,True,True,True,True,True,0.27127168776569904,0.387075284380857,True,0.0
stage2_c03,3,False,1,0,SHORT,trained,False,,68,16,True,True,True,True,True,0.16721052791760208,0.27951205255246897,True,0.0
stage2_c03,3,False,1,1,LONG,trained,False,,434,112,True,True,True,True,True,0.24183044933498019,0.2875899998144334,True,0.0
stage2_c03,3,False,1,1,SHORT,trained,False,,353,88,True,True,True,True,True,0.19734074739163524,0.2526462222852024,True,0.0
stage2_c03,3,False,1,2,LONG,trained,False,,1627,399,True,True,True,True,True,0.21058266453654748,0.30566111692227654,True,0.0
